start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url,date
2024-07-29 12:00:00+02:00,2024-07-29 13:00:00+02:00,2024-07-29,FINISHED,Table Tennis,TTE,Women's Singles,0,Women's Singles Round of 64,W,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 2,TT2,/en/paris-2024/results/table-tennis/women-s-singles/r64-002300--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:00:00+02:00,2024-07-29,FINISHED,Table Tennis,TTE,Men's Singles,0,Men's Singles Round of 64,M,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 3,TT3,/en/paris-2024/results/table-tennis/men-s-singles/r64-001900--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:00:00+02:00,2024-07-29,FINISHED,Table Tennis,TTE,Women's Singles,0,Women's Singles Round of 64,W,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 4,TT4,/en/paris-2024/results/table-tennis/women-s-singles/r64-003100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/women-s-singles/r32-000100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Suzanne-Lenglen,TSL,/en/paris-2024/results/tennis/women-s-singles/r32-001200--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Simonne-Mathieu,TSM,/en/paris-2024/results/tennis/women-s-singles/r32-001000--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 14,T14,/en/paris-2024/results/tennis/women-s-singles/r32-000500--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 6,T06,/en/paris-2024/results/tennis/women-s-singles/r32-001500--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 7,T07,/en/paris-2024/results/tennis/women-s-singles/r32-000600--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 8,T08,/en/paris-2024/results/tennis/women-s-singles/r32-000200--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Doubles,0,Women's Doubles First Round,W,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court 11,T11,/en/paris-2024/results/tennis/women-s-doubles/r32-000200--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Doubles,0,Men's Doubles First Round,M,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court 12,T12,/en/paris-2024/results/tennis/men-s-doubles/r32-001100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 13,T13,/en/paris-2024/results/tennis/women-s-singles/r32-000800--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Singles,0,Men's Singles Second Round,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/men-s-singles/r32-000100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Suzanne-Lenglen,TSL,/en/paris-2024/results/tennis/women-s-singles/r32-001600--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Singles,0,Men's Singles Second Round,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Simonne-Mathieu,TSM,/en/paris-2024/results/tennis/men-s-singles/r32-001000--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 14,T14,/en/paris-2024/results/tennis/women-s-singles/r32-001300--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 6,T06,/en/paris-2024/results/tennis/women-s-singles/r32-000700--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 7,T07,/en/paris-2024/results/tennis/women-s-singles/r32-000300--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 8,T08,/en/paris-2024/results/tennis/women-s-singles/r32-001100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Doubles,0,Men's Doubles First Round,M,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court 11,T11,/en/paris-2024/results/tennis/men-s-doubles/r32-001300--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Singles,0,Men's Singles Second Round,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 12,T12,/en/paris-2024/results/tennis/men-s-singles/r32-001500--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:00:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Singles,0,Women's Singles Second Round,W,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court 13,T13,/en/paris-2024/results/tennis/women-s-singles/r32-001400--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 16:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Women's Doubles,0,Women's Doubles First Round,W,HCOUP,Roland-Garros Stadium,RGA,Roland-Garros - Court Philippe-Chatrier,TPC,/en/paris-2024/results/tennis/women-s-doubles/r32-000500--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 16:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Singles,0,Men's Singles Second Round,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Suzanne-Lenglen,TSL,/en/paris-2024/results/tennis/men-s-singles/r32-000900--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 16:30:00+02:00,2024-07-29,FINISHED,Tennis,TEN,Men's Singles,0,Men's Singles Second Round,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros - Court Simonne-Mathieu,TSM,/en/paris-2024/results/tennis/men-s-singles/r32-000400--,2024-07-29
